Date,Close
1/2/18,193.09
2/2/18,190.28
5/2/18,181.26
6/2/18,185.31
7/2/18,180.18
8/2/18,171.58
9/2/18,176.11
12/2/18,176.41
13/02/2018,173.15
14/02/2018,179.52
15/02/2018,179.96
16/02/2018,177.36
20/02/2018,176.01
21/02/2018,177.91
22/02/2018,178.99
23/02/2018,183.29
26/02/2018,184.93
27/02/2018,181.46
28/02/2018,178.32
1/3/18,175.94
2/3/18,176.62
5/3/18,180.4
6/3/18,179.78
7/3/18,183.71
8/3/18,182.34
9/3/18,185.23
12/3/18,184.76
13/03/2018,181.88
14/03/2018,184.19
15/03/2018,183.86
16/03/2018,185.09
19/03/2018,172.56
20/03/2018,168.15
21/03/2018,169.39
22/03/2018,164.89
23/03/2018,159.39
26/03/2018,160.06
27/03/2018,152.22
28/03/2018,153.03
29/03/2018,159.79
2/4/18,155.39
3/4/18,156.11
4/4/18,155.1
5/4/18,159.34
6/4/18,157.2
9/4/18,157.93
10/4/18,165.04
11/4/18,166.32
12/4/18,163.87
13/04/2018,164.52
16/04/2018,164.83
17/04/2018,168.66
18/04/2018,166.36
19/04/2018,168.1
20/04/2018,166.28
23/04/2018,165.84
24/04/2018,159.69
25/04/2018,159.69
26/04/2018,174.16
27/04/2018,173.59
30/04/2018,172
1/5/18,173.86
2/5/18,176.07
3/5/18,174.02
4/5/18,176.61
7/5/18,177.97
8/5/18,178.92
9/5/18,182.66
10/5/18,185.53
11/5/18,186.99
14/05/2018,186.64
15/05/2018,184.32
16/05/2018,183.2
17/05/2018,183.76
18/05/2018,182.68
21/05/2018,184.49
22/05/2018,183.8
23/05/2018,186.9
24/05/2018,185.93
25/05/2018,184.92
29/05/2018,185.74
30/05/2018,187.67
31/05/2018,191.78
1/6/18,193.99
4/6/18,193.28
5/6/18,192.94
6/6/18,191.34
7/6/18,188.18
8/6/18,189.1
11/6/18,191.54
12/6/18,192.4
13/06/2018,192.41
14/06/2018,196.81
15/06/2018,195.85
18/06/2018,198.31
19/06/2018,197.49
20/06/2018,202
21/06/2018,201.5
22/06/2018,201.74
25/06/2018,196.35
26/06/2018,199
27/06/2018,195.84
28/06/2018,196.23
29/06/2018,194.32
2/7/18,197.36
3/7/18,192.73
5/7/18,198.45
6/7/18,203.23
9/7/18,204.74
10/7/18,203.54
11/7/18,202.54
12/7/18,206.92
13/07/2018,207.32
16/07/2018,207.23
17/07/2018,209.99
18/07/2018,209.36
19/07/2018,208.09
20/07/2018,209.94
23/07/2018,210.91
24/07/2018,214.67
25/07/2018,217.5
26/07/2018,176.26
27/07/2018,174.89
30/07/2018,171.06
31/07/2018,172.58
1/8/18,171.65
2/8/18,176.37
3/8/18,177.78
6/8/18,185.69
7/8/18,183.81
8/8/18,185.18
9/8/18,183.09
10/8/18,180.26
13/08/2018,180.05
14/08/2018,181.11
15/08/2018,179.53
16/08/2018,174.7
17/08/2018,173.8
20/08/2018,172.5
21/08/2018,172.62
22/08/2018,173.64
23/08/2018,172.9
24/08/2018,174.65
27/08/2018,177.46
28/08/2018,176.26
29/08/2018,175.9
30/08/2018,177.64
31/08/2018,175.73
4/9/18,171.16
5/9/18,167.18
6/9/18,162.53
7/9/18,163.04
10/9/18,164.18
11/9/18,165.94
12/9/18,162
13/09/2018,161.36
14/09/2018,162.32
17/09/2018,160.58
18/09/2018,160.3
19/09/2018,163.06
20/09/2018,166.02
21/09/2018,162.93
24/09/2018,165.41
25/09/2018,164.91
26/09/2018,166.95
27/09/2018,168.84
28/09/2018,164.46
1/10/18,162.44
2/10/18,159.33
3/10/18,162.43
4/10/18,158.85
5/10/18,157.33
8/10/18,157.25
9/10/18,157.9
10/10/18,151.38
11/10/18,153.35
12/10/18,153.74
15/10/2018,153.52
16/10/2018,158.78
17/10/2018,159.42
18/10/2018,154.92
19/10/2018,154.05
22/10/2018,154.78
23/10/2018,154.39
24/10/2018,146.04
25/10/2018,150.95
26/10/2018,145.37
29/10/2018,142.09
30/10/2018,146.22
31/10/2018,151.79
1/11/18,151.75
2/11/18,150.35
5/11/18,148.68
6/11/18,149.94
7/11/18,151.53
8/11/18,147.87
9/11/18,144.96
12/11/18,141.55
13/11/2018,142.16
14/11/2018,144.22
15/11/2018,143.85
16/11/2018,139.53
19/11/2018,131.55
20/11/2018,132.43
21/11/2018,134.82
23/11/2018,131.73
26/11/2018,136.38
27/11/2018,135
28/11/2018,136.76
29/11/2018,138.68
30/11/2018,140.61
3/12/18,141.09
4/12/18,137.93
6/12/18,139.63
7/12/18,137.42
10/12/18,141.85
11/12/18,142.08
12/12/18,144.5
13/12/2018,145.01
14/12/2018,144.06
17/12/2018,140.19
18/12/2018,143.66
19/12/2018,133.24
20/12/2018,133.4
21/12/2018,124.95
24/12/2018,124.06
26/12/2018,134.18
27/12/2018,134.52
28/12/2018,133.2
31/12/2018,131.09
2/1/19,135.68
3/1/19,131.74
4/1/19,137.95
7/1/19,138.05
8/1/19,142.53
9/1/19,144.23
10/1/19,144.2
11/1/19,143.8
14/01/2019,145.39
15/01/2019,148.95
16/01/2019,147.54
17/01/2019,148.3
18/01/2019,150.04
22/01/2019,147.57
23/01/2019,144.3
24/01/2019,145.83
25/01/2019,149.01
28/01/2019,147.47
29/01/2019,144.19
30/01/2019,150.42
31/01/2019,166.69
1/2/19,165.71
4/2/19,169.25
5/2/19,171.16
6/2/19,170.49
7/2/19,166.38
8/2/19,167.33
11/2/19,165.79
12/2/19,165.04
13/02/2019,164.07
14/02/2019,163.95
15/02/2019,162.5
19/02/2019,162.29
20/02/2019,162.56
